# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	79544	80122	-	WP_010992388.1	WP_010992388.1		conjugal transfer protein TraO			BT_RS00405	579	192	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	80125	81033	-					traN		BT_RS00410	909		old_locus_tag=BT0086,BT_0086
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	80125	81033	-	WP_011107097.1	WP_011107097.1		conjugative transposon protein TraN	traN		BT_RS00410	909	302	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	81067	82452	-					traM		BT_RS00415	1386		old_locus_tag=BT0087,BT_0087
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	81067	82452	-	WP_011107098.1	WP_011107098.1		conjugative transposon protein TraM	traM		BT_RS00415	1386	461	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	82427	82732	-							BT_RS00420	306		old_locus_tag=BT0088,BT_0088
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	82427	82732	-	WP_011107099.1	WP_011107099.1		TraL conjugative transposon family protein			BT_RS00420	306	101	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	82736	83359	-					traK		BT_RS00425	624		old_locus_tag=BT0089,BT_0089
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	82736	83359	-	WP_011107100.1	WP_011107100.1		conjugative transposon protein TraK	traK		BT_RS00425	624	207	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	83372	84397	-					traJ		BT_RS00430	1026		old_locus_tag=BT0090,BT_0090
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	83372	84397	-	WP_011107101.1	WP_011107101.1		conjugative transposon protein TraJ	traJ		BT_RS00430	1026	341	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	84416	85045	-							BT_RS00435	630		old_locus_tag=BT0091,BT_0091
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	84416	85045	-	WP_011107102.1	WP_011107102.1		DUF4141 domain-containing protein			BT_RS00435	630	209	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	85050	85406	-							BT_RS00440	357		old_locus_tag=BT0092,BT_0092
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	85050	85406	-	WP_011107103.1	WP_011107103.1		DUF3876 domain-containing protein			BT_RS00440	357	118	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	85435	87939	-							BT_RS00445	2505		old_locus_tag=BT0093,BT_0093
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	85435	87939	-	WP_011107104.1	WP_011107104.1		TraG family conjugative transposon ATPase			BT_RS00445	2505	834	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	87936	88262	-							BT_RS00450	327		old_locus_tag=BT0094,BT_0094
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	87936	88262	-	WP_011107105.1	WP_011107105.1		DUF4133 domain-containing protein			BT_RS00450	327	108	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	88274	88570	-							BT_RS00455	297		old_locus_tag=BT0095,BT_0095
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	88274	88570	-	WP_011107106.1	WP_011107106.1		DUF4134 domain-containing protein			BT_RS00455	297	98	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	88735	89415	-							BT_RS00460	681		old_locus_tag=BT0096,BT_0096
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	88735	89415	-	WP_011107107.1	WP_011107107.1		hypothetical protein			BT_RS00460	681	226	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	89417	89854	-							BT_RS00465	438		old_locus_tag=BT0097,BT_0097
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	89417	89854	-	WP_011107108.1	WP_011107108.1		DUF3408 domain-containing protein			BT_RS00465	438	145	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	89859	90620	-							BT_RS00470	762		old_locus_tag=BT0098,BT_0098
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	89859	90620	-	WP_011107109.1	WP_011107109.1		AAA family ATPase			BT_RS00470	762	253	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	90617	90946	-							BT_RS00475	330		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	90617	90946	-	WP_105100255.1	WP_105100255.1		hypothetical protein			BT_RS00475	330	109	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	91305	91742	+							BT_RS00485	438		old_locus_tag=BT0100,BT_0100
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	91305	91742	+	WP_007216065.1	WP_007216065.1		hypothetical protein			BT_RS00485	438	145	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	91727	92965	+							BT_RS00490	1239		old_locus_tag=BT0101,BT_0101
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	91727	92965	+	WP_011107110.1	WP_011107110.1		relaxase/mobilization nuclease domain-containing protein			BT_RS00490	1239	412	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	92986	94995	+							BT_RS00495	2010		old_locus_tag=BT0102,BT_0102
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	92986	94995	+	WP_011107111.1	WP_011107111.1		YWFCY domain-containing protein			BT_RS00495	2010	669	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	95169	96704	+							BT_RS00500	1536		old_locus_tag=BT0103,BT_0103
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	95169	96704	+	WP_011107112.1	WP_011107112.1		DUF3945 domain-containing protein			BT_RS00500	1536	511	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	96701	96889	+							BT_RS00505	189		old_locus_tag=BT0104,BT_0104
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	96701	96889	+	WP_011107113.1	WP_011107113.1		hypothetical protein			BT_RS00505	189	62	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	96886	98967	+							BT_RS00510	2082		old_locus_tag=BT0105,BT_0105
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	96886	98967	+	WP_011107114.1	WP_011107114.1		type IA DNA topoisomerase			BT_RS00510	2082	693	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	99073	99594	-							BT_RS00515	522		old_locus_tag=BT0106,BT_0106
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	99073	99594	-	WP_015532708.1	WP_015532708.1		dihydrofolate reductase family protein			BT_RS00515	522	173	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	99969	100247	-							BT_RS00520	279		old_locus_tag=BT0107,BT_0107
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	99969	100247	-	WP_005926255.1	WP_005926255.1		helix-turn-helix domain-containing protein			BT_RS00520	279	92	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	100260	102303	-							BT_RS00525	2044		pseudo;old_locus_tag=BT0108,BT_0108
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	100260	102303	-				AAA family ATPase			BT_RS00525	2044		pseudo
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	102266	102625	-							BT_RS00530	360		old_locus_tag=BT0109,BT_0109
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	102266	102625	-	WP_011107117.1	WP_011107117.1		helix-turn-helix domain-containing protein			BT_RS00530	360	119	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	102836	103696	-							BT_RS00535	861		old_locus_tag=BT0110,BT_0110
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	102836	103696	-	WP_011107118.1	WP_011107118.1		RteC domain-containing protein			BT_RS00535	861	286	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	103864	104067	-							BT_RS00540	204		old_locus_tag=BT0111,BT_0111
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	103864	104067	-	WP_015532707.1	WP_015532707.1		hypothetical protein			BT_RS00540	204	67	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	104093	104998	-							BT_RS00545	906		old_locus_tag=BT0112,BT_0112
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	104093	104998	-	WP_011107120.1	WP_011107120.1		permease			BT_RS00545	906	301	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	105024	105524	-							BT_RS00550	501		old_locus_tag=BT0113,BT_0113
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	105024	105524	-	WP_011107121.1	WP_011107121.1		hypothetical protein			BT_RS00550	501	166	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	105527	106573	-					arsB		BT_RS00555	1047		old_locus_tag=BT0114,BT_0114
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	105527	106573	-	WP_011107122.1	WP_011107122.1		ACR3 family arsenite efflux transporter	arsB		BT_RS00555	1047	348	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	106586	107014	-							BT_RS00560	429		old_locus_tag=BT0115,BT_0115
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	106586	107014	-	WP_011107123.1	WP_011107123.1		arsenate reductase ArsC			BT_RS00560	429	142	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	107019	108731	-					arsA		BT_RS00565	1713		old_locus_tag=BT0116,BT_0116
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	107019	108731	-	WP_011107124.1	WP_011107124.1		arsenical pump-driving ATPase	arsA		BT_RS00565	1713	570	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	108759	109085	-					arsD		BT_RS00570	327		old_locus_tag=BT0117,BT_0117
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	108759	109085	-	WP_011107125.1	WP_011107125.1		arsenite efflux transporter metallochaperone ArsD	arsD		BT_RS00570	327	108	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	109119	109826	-							BT_RS00575	708		old_locus_tag=BT0118,BT_0118
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	109119	109826	-	WP_011107126.1	WP_011107126.1		aromatic aminobenezylarsenical efflux permease ArsG family transporter			BT_RS00575	708	235	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	109828	110271	-							BT_RS00580	444		old_locus_tag=BT0119,BT_0119
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	109828	110271	-	WP_004292399.1	WP_004292399.1		nitrophenyl compound nitroreductase subunit ArsF family protein			BT_RS00580	444	147	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	110282	110515	-							BT_RS00585	234		old_locus_tag=BT0120,BT_0120
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	110282	110515	-	WP_004292400.1	WP_004292400.1		thioredoxin family protein			BT_RS00585	234	77	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	110593	110919	-							BT_RS00590	327		old_locus_tag=BT0121,BT_0121
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	110593	110919	-	WP_118195647.1	WP_118195647.1		metalloregulator ArsR/SmtB family transcription factor			BT_RS00590	327	108	
gene	tRNA	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	111386	111473	+							BT_RS00595	88		old_locus_tag=BT_t01
tRNA		GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	111386	111473	+				tRNA-Ser			BT_RS00595	88		anticodon=GGA
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	111648	112655	+							BT_RS00600	1008		old_locus_tag=BT0122,BT_0122
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	111648	112655	+	WP_011107128.1	WP_011107128.1		ketoacyl-ACP synthase III			BT_RS00600	1008	335	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	112706	113182	-					nuoE		BT_RS00605	477		old_locus_tag=BT0123,BT_0123
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	112706	113182	-	WP_008766748.1	WP_008766748.1		NADH-quinone oxidoreductase subunit NuoE	nuoE		BT_RS00605	477	158	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	113201	114967	-							BT_RS00610	1767		old_locus_tag=BT0124,BT_0124
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	113201	114967	-	WP_008766747.1	WP_008766747.1		2Fe-2S iron-sulfur cluster binding domain-containing protein			BT_RS00610	1767	588	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	114979	116886	-					nuoF		BT_RS00615	1908		old_locus_tag=BT0125,BT_0125
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	114979	116886	-	WP_008766746.1	WP_008766746.1		NADH-quinone oxidoreductase subunit NuoF	nuoF		BT_RS00615	1908	635	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	117467	120223	+							BT_RS00620	2757		old_locus_tag=BT0126,BT_0126
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	117467	120223	+	WP_011107129.1	WP_011107129.1		heparinase II/III family protein			BT_RS00620	2757	918	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	120368	121783	+							BT_RS24485	1416		partial;pseudo
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	120368	121783	+				glycosyl hydrolase family 28 protein			BT_RS24485	1416		partial;pseudo
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	121868	123661	+							BT_RS24490	1794		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	121868	123661	+	WP_225011897.1	WP_225011897.1		alginate lyase family protein			BT_RS24490	1794	597	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	123872	124243	+							BT_RS00630	372		old_locus_tag=BT0128,BT_0128
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	123872	124243	+	WP_008766743.1	WP_008766743.1		hypothetical protein			BT_RS00630	372	123	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	124349	125536	-					uxuA		BT_RS00635	1188		old_locus_tag=BT0129,BT_0129
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	124349	125536	-	WP_008766742.1	WP_008766742.1		mannonate dehydratase	uxuA		BT_RS00635	1188	395	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	125549	126364	-							BT_RS00640	816		old_locus_tag=BT0130,BT_0130
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	125549	126364	-	WP_008766741.1	WP_008766741.1		SDR family oxidoreductase			BT_RS00640	816	271	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	126514	127678	+							BT_RS00650	1165		pseudo;old_locus_tag=BT0131,BT_0131
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	126514	127678	+				IS4 family transposase			BT_RS00650	1165		pseudo
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	127903	129852	+							BT_RS00655	1950		old_locus_tag=BT0132,BT_0132
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	127903	129852	+	WP_008766740.1	WP_008766740.1		glycoside hydrolase family 97 protein			BT_RS00655	1950	649	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	129836	130669	-					murQ		BT_RS00660	834		old_locus_tag=BT0133,BT_0133
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	129836	130669	-	WP_008760452.1	WP_008760452.1		N-acetylmuramic acid 6-phosphate etherase	murQ		BT_RS00660	834	277	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	130680	131063	-							BT_RS00665	384		old_locus_tag=BT0134,BT_0134
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	130680	131063	-	WP_008760453.1	WP_008760453.1		DUF3037 domain-containing protein			BT_RS00665	384	127	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	131041	131823	-							BT_RS00670	783		old_locus_tag=BT0135,BT_0135
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	131041	131823	-	WP_008766739.1	WP_008766739.1		hypothetical protein			BT_RS00670	783	260	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	131976	133586	+							BT_RS00675	1611		old_locus_tag=BT0136,BT_0136
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	131976	133586	+	WP_011107132.1	WP_011107132.1		hypothetical protein			BT_RS00675	1611	536	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	133697	135616	+							BT_RS00680	1920		old_locus_tag=BT0137,BT_0137
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	133697	135616	+	WP_055229046.1	WP_055229046.1		glycoside hydrolase family 127 protein			BT_RS00680	1920	639	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	135802	138585	+							BT_RS00685	2784		old_locus_tag=BT0138,BT_0138
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	135802	138585	+	WP_162303145.1	WP_162303145.1		helix-turn-helix domain-containing protein			BT_RS00685	2784	927	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	139333	139848	+							BT_RS00690	516		old_locus_tag=BT0139,BT_0139
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	139333	139848	+	WP_008766735.1	WP_008766735.1		RNA polymerase sigma-70 factor			BT_RS00690	516	171	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	139982	143212	+							BT_RS00695	3231		old_locus_tag=BT0140,BT_0140
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	139982	143212	+	WP_172461656.1	WP_172461656.1		TonB-dependent receptor			BT_RS00695	3231	1076	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	143223	144962	+							BT_RS00700	1740		old_locus_tag=BT0141,BT_0141
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	143223	144962	+	WP_008760460.1	WP_008760460.1		RagB/SusD family nutrient uptake outer membrane protein			BT_RS00700	1740	579	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	144992	146377	+							BT_RS00705	1386		old_locus_tag=BT0142,BT_0142
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	144992	146377	+	WP_008766733.1	WP_008766733.1		Ig-like domain-containing protein			BT_RS00705	1386	461	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	146387	147763	+							BT_RS00710	1377		old_locus_tag=BT0143,BT_0143
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	146387	147763	+	WP_008766732.1	WP_008766732.1		alginate lyase family protein			BT_RS00710	1377	458	
gene	pseudogene	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	147968	149618	+							BT_RS00715	1651		pseudo;old_locus_tag=BT0145,BT_0145
CDS	without_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	147968	149618	+				glycoside hydrolase 43 family protein			BT_RS00715	1651		pseudo
